TRANSLATION SHEET - CORWADO TELEGRAM BOT MESSAGES (ENGLISH TO JUBA ARABIC)

"Hello Philip, thank you for helping with this! Here is how this sheet works:"

"1. Please fill in the LAST column, ""juba_arabic_translation"", with the Juba Arabic version of each message in the ""english_text"" column."
"2. Spelling: Juba Arabic does not have one official/standard spelling, so please do not worry about ""correct"" spelling. Just write it the way it sounds when spoken, using the same English letters (A, B, C...) that this sheet is written in."
"3. Some messages have a word inside curly braces, like {name} or {crop} or {price}. These are placeholders -- the computer automatically swaps them for real information (a real name, a real crop, a real price, etc.) before the message is sent. You must copy these words EXACTLY as they appear, curly braces and all, into your translation -- do NOT translate the word inside the braces itself. The ""placeholder_note"" column explains what each one means in plain language."
"4. Some messages also contain command words in capital letters, like REGISTER, BOUNDARY, YES, NO, STAFF, PRICE, SKIP, DONE. These are words the farmer has to type back to the bot exactly as shown, so please leave these capitalized English words as they are too -- do not translate them."
"5. If a message doesn't translate naturally into Juba Arabic, or you're simply not sure about one, that is totally fine -- just leave that row's last column blank and move on to the next one. No pressure to force a translation."
"6. Please don't change the ""key"" column (first column) or reorder the rows -- that column is just an internal label so the message can be matched back up in the system later. You don't need to do anything with it."
"7. When you're done, please save/send the file back in the same format (Excel or CSV is fine)."
Thank you very much for your help with this!


key,english_text,placeholder_note,juba_arabic_translation
menu_text,"1. Link my phone number
2. Check today's price
3. Check my registration status
Reply with a number.",No placeholders. Keep the numbered list format (1. 2. 3.) and each item on its own line if you can.,
staff_auth_required,"This action requires CORWADO staff authorization. Send STAFF <phone number> to link your account, or contact your program coordinator.","No placeholders. ""STAFF <phone number>"" is a command word the farmer must type in -- keep the word STAFF in English/capitals exactly as shown, just translate the surrounding sentence.",
gender_menu,"Gender? 1=female 2=male 3=other 4=prefer not to say (numbers or words both work, or reply SKIP)",No placeholders. The word SKIP is a command word people can type -- keep it in English/capitals exactly as shown.,
gender_not_recognized,Didn't recognize that. {menu},"{menu} will be replaced with another message automatically (a short menu of choices) -- leave the word {menu} exactly as-is, just write the surrounding sentence in Juba Arabic.",
register_usage,Usage: REGISTER <phone number>,No placeholders. REGISTER is a command word people must type in -- keep it in English/capitals exactly as shown.,
register_not_found,No registration found for that phone number. Ask your Digital Champion to register you first.,No placeholders.,
register_phone_linked_elsewhere,This phone is already linked to a different Telegram account — contact your Digital Champion.,No placeholders.,
register_chat_linked_elsewhere,This Telegram account is already linked to a different farmer record ({name}) — contact your Digital Champion if this phone number should be linked instead.,"{name} will be replaced with the person's actual name -- leave the word {name} exactly as-is in your translation, just write the surrounding sentence in Juba Arabic.",
register_linked,Linked. You're registered as {name}. Reply BOUNDARY to trace your farm now.,"{name} will be replaced with the person's actual name -- leave the word {name} exactly as-is in your translation, just write the surrounding sentence in Juba Arabic. Also keep the word BOUNDARY in English/capitals exactly as shown -- it's a command word people type in.",
register_phone_prompt,Send your phone number.,No placeholders.,
